Название продукта,Категория продукта,Подкатегория продукта,Цена продукта,Город,Ссылка на продукт,Статус
Икра красная Золото Сахалина 360 грамм,ИКРА,,32 000 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-zoloto-sahalina-360-gramm/,Нет статуса
Икра Красная Кета уп. 500 гр,ИКРА,,40 000 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-keta-up-500-gr/,Нет статуса
Икра красная Горбуши Россия 200 гр,ИКРА,,15 000 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-gorbushi-2021-200-gr/,Нет статуса
"Икра Красная ""Золото Сахалина"" 500 гр.",ИКРА,,39 000 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnya-zoloto-sahalina-500-gr/,Нет статуса
"Икра красная ""Золото Сахалина"" 220 грамм",ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-zoloto-sahalina-220-gramm/,Новинка
"Икра Красная ""Обкомовская"" уп. 200 гр.",ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-obkomovskaya-up-200-gr/,Новинка
Икра красная Аляска (Кета) 250 гр,ИКРА,,18 490 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-alyaska-keta-250-gr/,Акция
"Икра Красная ""Обкомовская"" уп. 140 гр.",ИКРА,,16 200 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-obkomovskaya-up-140-gr/,Нет статуса
"Икра красная ""Обкомовская"", уп. 500 гр",ИКРА,,58 000 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-obkomovskaya-up-500-gr/,Нет статуса
"Икра Красная ""Обкомовская"", уп. 360 гр.",ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-obkomovskaya-up-360-gr/,Новинка
"Икра Красная ""Обкомовская"", 95 гр.",ИКРА,,11 200 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-obkomovskaya-95-gr/,Нет статуса
Икра лососевая ст/б 120 гр Золото Сахалина,ИКРА,,12 200 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-lososevaya-stb-120-gr-zoloto-sahalina/,Нет статуса
Икра Горбуши весовая,ИКРА,,75 000 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-gorbushi-vesovaya/,Нет статуса
Икра лососевая ж/б 140 гр Золото Сахалина,ИКРА,,12 600 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-lososevaya-zhb-140-gr-zoloto-sahalina/,Нет статуса
Икра Красная Кета весовая,ИКРА,,80 000 Т,Алматы,https://kingfisher.kz/ikra/ikra-krasnaya/ikra-krasnaya-keta-vesovaya/,Нет статуса
Черная осетровая Икра Premium Russian Caspian 100 гр.,ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/chernaya-ikra-premium-100-gr/,Новинка
Russian Caspian Икра черная зернистая осетровая PREMIUM ж/б 250 гр,ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/ikra-chernaya-premium/,Новинка
Икра Черная осетровая Fishland 125 гр,ИКРА,,80 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/ikra-chernaya-osetrovaya-fishland/,Нет статуса
Икра Черная Стерлядь Caspian Caviar 120 гр,ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/ikra-chernaya-osetrovyh/,Новинка
Черная икра осетра Fishland 250 гр,ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/chernaya-ikra-fishland-250-gr/,Новинка
Черная икра Premium Russian Caspian 50 гр,ИКРА,,35 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/chernaya-ikra-premium-50-gr/,Нет статуса
Икра Черная Стерлядь Caspian Caviar 50 гр,ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/ikra-chernaya-sterlyad/,Новинка
Frosista Икра осетра Калуга 50 гр,ИКРА,,29 500 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-chernaya-50-gr/,Нет статуса
Frosista Икра осетра Калуга 100 гр,ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-chernaya-100-gr/,Новинка
Черная Икра стерлядь Caspian Caviar 230 гр,ИКРА,,155 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/chernaya-ikra-caspian-caviar/,Нет статуса
Frosista Икра Русского осетра 50 гр,ИКРА,,29 500 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-russkogo-osetra-50-gr/,Нет статуса
Frosista Икра осетра Калуга 30 гр,ИКРА,,17 800 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-kaluga-30-gr/,Нет статуса
Frosista Икра осетра Калуга 10 гр,ИКРА,,5 800 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-kaluga-10-gr/,Нет статуса
Frosista Икра осетра и белуги (гибрид) 50 гр,ИКРА,,29 500 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-i-belugi-gibrid-50-gr/,Нет статуса
Frosista Икра Русского осетра 10 гр,ИКРА,,6 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-russkogo-osetra-10-gr/,Нет статуса
Frosista Икра осетра и белуги (гибрид) 10 гр,ИКРА,,6 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-i-belugi-gibrid-10-gr/,Нет статуса
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 10 гр,ИКРА,,6 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-sibirskogo-osetra-i-amurskogo-osetra-gibrid-10-gr/,Нет статуса
Frosista Икра осетра и белуги (гибрид) 100 гр,ИКРА,,65 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-i-belugi-gibrid-100-gr/,Нет статуса
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 50 гр,ИКРА,,29 500 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-sibirskogo-osetra-i-amurskogo-osetra-gibrid-50-gr/,Нет статуса
Frosista Икра осетра и белуги (гибрид) 30 гр,ИКРА,,18 500 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-i-belugi-gibrid-30-gr/,Нет статуса
Frosista Икра Русского осетра 100 гр,ИКРА,,65 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-russkogo-osetra-100-gr/,Нет статуса
Frosista Икра Русского осетра 30 гр,ИКРА,,17 800 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-russkogo-osetra-30-gr/,Нет статуса
Russian Caspian Икра зернистая осетровая Black Gold 50 гр,ИКРА,,38 500 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/russian-caspian-ikra-zernistaya-osetrovaya-black-gold-50-gr/,Нет статуса
Russian Caspian Икра зернистая осетровая Black Gold 100 гр,ИКРА,,69 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/russian-caspian-ikra-zernistaya-osetrovaya-black-gold-100-gr/,Нет статуса
Frosista Икра осетра и белуги (гибрид) 250 гр,ИКРА,,148 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-i-belugi-gibrid-250-gr/,Нет статуса
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 100 гр,ИКРА,,65 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-sibirskogo-osetra-i-amurskogo-osetra-gibrid-100-gr/,Нет статуса
Caspian Caviar Икра черная 50 гр (осетр),ИКРА,,32 800 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/caspian-caviar-ikra-chernaya-50-gr-osetr/,Нет статуса
Frosista Икра Русского осетра 250 гр,ИКРА,,148 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-russkogo-osetra-250-gr/,Нет статуса
Frosista Икра осетра Калуга 250 гр,ИКРА,,Новинка,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-osetra-chernaya-250-gr/,Новинка
Caspian Caviar Икра черная 250 гр (осетр),ИКРА,,132 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/caspian-caviar-ikra-chernaya-250-gr-osetr/,Нет статуса
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 250 гр,ИКРА,,148 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-sibirskogo-osetra-i-amurskogo-osetra-gibrid-250-gr/,Нет статуса
Russian Caspian Икра зернистая осетровая PREMIUM ж/б 500 гр,ИКРА,,352 000 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/chernaya-ikra-premium-500-gr/,Нет статуса
Frosista Икра Сибирского осетра и Амурского осетра (гибрид) 30 гр,ИКРА,,18 500 Т,Алматы,https://kingfisher.kz/ikra/chernaya-ikra/frosista-ikra-sibirskogo-osetra-i-amurskogo-osetra-gibrid-30-gr/,Нет статуса
Cinco Jotas Хамон Иберико нарезка слайсами 70 гр/уп,МЯСО,,19 800 Т,Алматы,https://kingfisher.kz/myaso/hamon/cinco-jotas-hamon-iberiko-narezka-slaysami-70-grup/,Нет статуса
Cinco Jotas Лопатка Иберико нарезка слайсами 70 гр/уп,МЯСО,,15 800 Т,Алматы,https://kingfisher.kz/myaso/hamon/cinco-jotas-lopatka-iberiko-narezka-slaysami-70-grup/,Нет статуса
Cinco Jotas Лопатка Иберико на кости 5-6 кг,МЯСО,,89 000 Т,Алматы,https://kingfisher.kz/myaso/hamon/cinco-jotas-lopatka-iberiko-na-kosti-5-6-kg/,Нет статуса
Cinco Jotas Хамон Иберико на кости 6-7 кг,МЯСО,,110 000 Т,Алматы,https://kingfisher.kz/myaso/hamon/cinco-jotas-hamon-iberiko-na-kosti-6-7-kg/,Нет статуса
Филе утки Мулард зернового откорма 420 гр,МЯСО,,6 500 Т,Алматы,https://kingfisher.kz/myaso/myaso-utki/file-utki-mulard/,Нет статуса
Ножка утиная Конфи с/м,МЯСО,,11 800 Т,Алматы,https://kingfisher.kz/myaso/myaso-utki/nozhka-utinaya-konfi/,Нет статуса
Паштет Пате-Мусс из Фуа-Гра 50% лоток 85 г,МЯСО,,4 300 Т,Алматы,https://kingfisher.kz/myaso/myaso-utki/pashtet-pate-muss-iz-fua-gra/,Нет статуса
Печень утиная Фуа-Гра Эскалоп,МЯСО,,46 000 Т,Алматы,https://kingfisher.kz/myaso/myaso-utki/pechen-utinaya-fua-gra-eskalop/,Нет статуса
Печень утиная Фуа-гра Золото высшего сорта,МЯСО,,46 000 Т,Алматы,https://kingfisher.kz/myaso/myaso-utki/fua-gra-utinaya-zoloto-celaya/,Нет статуса
Паштет из утки Rillettes de Canard Classique 120 гр (классик),МЯСО,,4 600 Т,Алматы,https://kingfisher.kz/myaso/myaso-utki/pashtet-rillettes-de-canard-classique/,Нет статуса
Филе утки Магре золото 300-650 гр/уп,МЯСО,,13 800 Т,Алматы,https://kingfisher.kz/myaso/myaso-utki/file-utki-magre-zoloto-ves/,Нет статуса
Колбаска Пармеджана сыровяленая 120 гр,МЯСО,,3 800 Т,Алматы,https://kingfisher.kz/myaso/myaso-utki/kolbaska-parmedzhana-syrovyalenaya-120-gr/,Нет статуса
"Прошутто-ди-Парма нарезка слайсами, 100 гр",МЯСО,,Новинка,Алматы,https://kingfisher.kz/myaso/prosciutto-di-parma/proshutto-di-parma-narezka-slaysami-200-gr/,Новинка
Прошутто Pata Negra PDO нарезка 100 гр,МЯСО,,3 990 Т,Алматы,https://kingfisher.kz/myaso/prosciutto-di-parma/proshutto-patta/,Акция
Коппа-ди-Парма нарезка 100 гр/уп,МЯСО,,3 800 Т,Алматы,https://kingfisher.kz/myaso/prosciutto-di-parma/koppa-di-parma-narezka-100-grup/,Нет статуса
Прошутто-ди-Пармо на кости (Пармская ветчина) 30 мес вес 10 - 11 кг,МЯСО,,Новинка,Алматы,https://kingfisher.kz/myaso/prosciutto-di-parma/proshutto-di-parmo-na-kosti-parmskaya-vetchina-ves-10-11-kg/,Новинка
Qyzyl Saia Бастурма из конины 60 гр,МЯСО,,2 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-basturma-iz-koniny/,Нет статуса
Qyzyl Saia Жая сур ет уп 60 гр,МЯСО,,2 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-zhaya-sur-et/,Нет статуса
Qyzyl Saia Ассорти конина сур ет уп 180 гр,МЯСО,,6 800 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-assorti-konina-sur-et/,Нет статуса
Qyzyl Saia Бастурма из говядины 60 гр,МЯСО,,2 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-basturma-iz-govyadiny/,Нет статуса
Qyzyl Saia Грудинка говядина сур ет уп 60 гр,МЯСО,,2 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-grudinka-govyadina-sur-et/,Нет статуса
Qyzyl Saia Карбонад из говядины сур ет уп 60 гр,МЯСО,,2 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-karbonad-iz-govyadiny-sur-et/,Нет статуса
Qyzyl Saia Шужук сур ет вес ±400 гр,МЯСО,,17 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-shuzhuk-sur-et-ves/,Нет статуса
Qyzyl Saia Жамбас сур ет уп 60 гр,МЯСО,,2 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-zhambas-sur-et/,Нет статуса
Qyzyl Saia Ассорти говядины сур ет уп 180 гр,МЯСО,,6 800 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-assorti-govyadiny-sur-et/,Нет статуса
Qyzyl Saia Казы сур ет вес ±300 гр,МЯСО,,18 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-kazy-sur-et-ves/,Нет статуса
Qyzyl Saia Филе говядины сур ет уп 60 гр,МЯСО,,2 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-file-govyadiny-sur-et/,Нет статуса
Qyzyl Saia Жая сур ет вес ±500 гр,МЯСО,,19 800 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-zhaya-sur-et-ves/,Нет статуса
Qyzyl Saia Казы в череве сур ет вес ±125 гр,МЯСО,,29 500 Т,Алматы,https://kingfisher.kz/myaso/myasnye-delikatesy-qyzyl-saia/qyzyl-saia-kazy-v-chereve-sur-et-ves/,Нет статуса
Артишок на гриле сердцевина Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishok-na-grile-le-bonta/,Новинка
Le Bonta Перец черри с сыром 314 мл,АНТИПАСТИ,,4 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/perec-cherri-farshirovanniy-s-syrom-le-bonta-314-ml/,Нет статуса
Артишок со стеблями All Romana по-римски 580 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-so-steblyami-alla-romana/,Новинка
Оливки Микс Барисейн Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/olivki-miks-le-bonta/,Новинка
"Оливки фиолетовые ""Saporite"" Le Bonta 314 мл",АНТИПАСТИ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/olivki-fioletovye-leccino-le-bonta/,Нет статуса
Перец на Гриле в масле Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/perec-na-grile-le-bonta/,Новинка
Песто алла Дженовезе Le Bonta 212 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/pesto-ala-dzhenoveze-le-bonta/,Новинка
Le Bonta Оливки зеленые сорта Bella di Cerignola 314 мл,АНТИПАСТИ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-olivki-zelenye-sorta-bella-di-cerignola-314-ml/,Нет статуса
"Перец Черри с Тунцом и Каперсами, Le Bonta 314 мл",АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/perec-cherri-s-tuncom-i-kapersami-le-bonta/,Новинка
"Джем инжирный Le Bonta, 314 мл",АНТИПАСТИ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/dzhem-inzhirniy-le-bonta/,Нет статуса
Le Bonta Антипасто Рустико в масле 314 мл,АНТИПАСТИ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/ovoschi-na-grile-rustiko-le-bonta/,Нет статуса
Грибной Микс Le Bonta 314 мл,АНТИПАСТИ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/gribnoy-miks-le-bonta/,Нет статуса
Помидоры вяленые alla Pugliese Le Bonta 314 мл,АНТИПАСТИ,,4 200 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/pomidory-vyalenye-alla-pugliese-le-bonta-314-ml/,Нет статуса
Оливки зеленые сорта Bella di Cerignola Le Bonta 580 мл,АНТИПАСТИ,,4 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-olivki-zelenye-sorta-bella-di-cerignola-580-ml/,Нет статуса
Каперсы на веточке Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/kapersy-na-vetochke-le-bonta-314-ml/,Новинка
Le Bonta Песто алла Дженовезе 580 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/pesto-dzhenoveze-pesto-genovese-580-ml/,Новинка
Помидоры вяленые alla Pugliese Le Bonta 580 мл,АНТИПАСТИ,,4 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/pomidory-vyalenye-alla-pugliese-le-bonta-580-ml/,Нет статуса
Le Bonta Оливки Зеленые сорта Bella di Cerignola 3100 гр 7/9,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/olivki-zelenye-bolshaya-banka-le-bonta/,Новинка
Соус с Базиликом Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/sous-s-bazilikom-le-bonta/,Новинка
Оливки черные и зеленые без косточек Gustose Le Bonta 314 мл,АНТИПАСТИ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/olivki-chernye-i-zelenye-bez-kostochek-gustose-le-bonta-314-ml/,Нет статуса
Баклажаны на гриле Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/baklazhany-na-grile/,Новинка
Le Bonta Соус Аллараббиата 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/sous-all-arrabyata-le-bonta/,Новинка
Le Bonta Шампиньоны на гриле 314 мл,АНТИПАСТИ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/shampinony-na-grile-le-bonta/,Нет статуса
Каперсы в соли Le Bonta 212 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/kapersy-v-soli-le-bonta-212-ml/,Новинка
Джем грушевый Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/sladosti/sladosti-le-bonta/dzhem-grusheviy-le-bonta-314-ml/,Новинка
"Перец Черри с сыром, Le Bonta, 1700 мл.",АНТИПАСТИ,,16 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/perec-cherri-s-syrom-1700-ml-barbera/,Нет статуса
Оливки зеленые сорта Bella di Cerignola Le Bonta 3100 гр Экстра,АНТИПАСТИ,,18 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/olivki-zelenye-sorta-bella-di-cerignola-le-bonta-3100-gr-ekstra/,Нет статуса
"Джем из Сицилийского Лимона, 110 гр",АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/sladosti/sladosti-alicos/dzhem-iz-siciliyskogo-limona-110-gr/,Новинка
Маслины без косточек Saporite Le Bonta 3100 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/masliny-saporite-bez-kostochek-le-bonta-3100-ml/,Новинка
Le Bonta Брускетта с черными оливками 212 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/brusketta-s-chernymi-olivkami-le-bonta-212-ml/,Новинка
Le Bonta Брускетта с вялеными помидорами 212 мл,АНТИПАСТИ,,2 700 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-brusketta-s-vyalenymi-pomidorami-212-ml/,Нет статуса
Le Bonta Брускетта пикантная 212 мл,АНТИПАСТИ,,2 700 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-brusketa-pikantnaya-212-ml/,Нет статуса
Артишоки со стеблями Alla Romana Le Bonta 3100 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-so-steblyami-alla-romana-3100-ml/,Новинка
Помидоры вяленые alla Pugliese 1700 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/pomidory-vyalenye-alla-pugli/,Новинка
Le Bonta Соус для пасты Alla Puttanesca 314 мл,АНТИПАСТИ,,2 900 Т,Алматы,https://kingfisher.kz/bakaleya/sousy/le-bonta-sous-dlya-pasty-alla-puttanesca-314-ml/,Нет статуса
Помидоры полувяленные GiLiegino Le Bonta 314 мл,АНТИПАСТИ,,4 000 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/pomidory-poluvyalennye-giliegino-le-bonta-314-ml/,Нет статуса
Лук на Гриле Borettane Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/luk-na-grile-borettane-le-bonta/,Новинка
Маслины и Оливки Gustose Le Bontà mix 3100 мл,АНТИПАСТИ,,18 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/masliny-i-olivki-gustose-le-bont-mix-3100-ml/,Нет статуса
Le Bonta Брускетта из артишоков 212 мл,АНТИПАСТИ,,2 700 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-brusketa-iz-artishokov-212-ml/,Нет статуса
Alicos Соус Ортолана 350 гр,АНТИПАСТИ,,2 000 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/sous-ortolana/,Нет статуса
Артишоки четвертинки Paesana Le Bonta 3100 мл.,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-chetvertinki-paesana-le-bonta-3100-ml/,Новинка
Артишоки со стеблями на гриле Alla Romana Le Bonta 3100 мл,АНТИПАСТИ,,24 000 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-so-steblyami-na-grile-alla-romana-le-bonta-3100-ml/,Нет статуса
Le Bonta Брускетта Del Casale 212 мл,АНТИПАСТИ,,2 700 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-brusketa-del-casale-212-ml/,Нет статуса
Лук на гриле с Бальзамическим уксусом Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/luk-na-grile-s-balzamicheskim-uksusom-le-bonta/,Новинка
"Перец Черри фаршированный с Тунцом и Каперсами, Le Bonta 1700 мл.",АНТИПАСТИ,,16 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/perec-cherri-farshirovanniy-s-tuncom-i-kapersami-le-bonta-1700-ml/,Нет статуса
Le Bonta Брускетта Del Casale 580 мл,АНТИПАСТИ,,5 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/brusketta-del-casale-le-bonta-580-ml/,Нет статуса
Le Bonta Брускетта из артишоков 580 мл,АНТИПАСТИ,,5 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/brusketta-iz-artishokov-le-bonta-580-ml/,Нет статуса
Le Bonta Брускетта из перца 212 мл,АНТИПАСТИ,,2 700 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-brusketa-iz-perca-212-ml/,Нет статуса
Оливки измельченные Del Casale Le Bonta 3100 мл,АНТИПАСТИ,,18 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/olivki-izmelchennye-del-casale-le-bonta-3100-ml/,Нет статуса
Alicos Соус сальса с помидорами черри и финиковыми помидорами 330 гр,АНТИПАСТИ,,2 000 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/salsa-s-pomidorami-cherri-i-ovoschami/,Нет статуса
Le Bonta Соус для пасты с овощами 314 мл,АНТИПАСТИ,,2 900 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-sous-dlya-pasty-s-ovoshchami-314-ml/,Нет статуса
Alicos Соус из помидоров черри и перца 330 гр,АНТИПАСТИ,,2 000 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/tomatniy-sous-s-percem-pepperoni/,Нет статуса
Перец на гриле в масле Le Bonta 1700 мл,АНТИПАСТИ,,10 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/perec-na-grile-v-masle-le-bonta-1700-ml/,Нет статуса
Le Bonta Артишоки сердцевина в рассоле ж/б 2650 мл,АНТИПАСТИ,,12 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-artishoki-serdcevina-v-rassole-zhb-2650-ml/,Нет статуса
